Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Kangaroo Island,410,Australia,-25.430446547811,152.88147001222,1,1,0,0,1,0,0,0,0,0,0,0,0,River Heads,2.23,
Fish Bladder Island,12,United States of America,44.6719893,-73.2531858,0,0,1,0,1,1,0,0,1,0,0,0,0,Milton,7.36,
Casa Brisa by the Sea,3,Belize,17.955282999999994,-87.982754,0,1,1,0,1,1,0,0,0,0,0,0,0,San Pedro,2.93,
Island C-935,5,Canada,45.347625206832,-80.2892995,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,12.34,
Crown Island,18,Canada,45.06895220000001,-79.5231132,0,0,1,1,0,1,0,0,1,1,0,0,0,Bracebridge,10.39,
Island of Sirens,1,Italy,37.858355221154,15.300878364418,0,1,0,0,0,0,0,0,0,0,0,0,0,Taormina,0.75,
Sumba Island Properties,5,Indonesia,-9.7699747467317,119.36698717401,1,1,0,0,1,0,0,0,0,0,0,0,0,Kabupaten Sumba Barat,15.14,
Surf Beach Property,4,Indonesia,-9.6993439,119.9740534,0,1,0,0,1,0,0,0,0,0,0,0,0,Waingapu,19.97,
Prince Cay,9,Bahamas,26.951557116055003,-77.60854041543,0,1,1,0,1,0,0,0,0,0,0,0,0,Cooper’s Town,8.16,
The Tryon Islands,6,Canada,45.0737604,-80.0796331,0,0,1,0,0,1,0,0,1,1,0,0,0,Parry Sound,19.02,
Kanadeio Island,1,Canada,45.541124442523,-80.478814337997,0,0,1,0,0,1,0,0,1,1,0,0,0,Parry Sound,25.33,
Phuket Island Villas,0,Thailand,7.999147902633599,98.34481158242201,0,0,1,0,0,0,0,0,0,0,0,0,0,Amphoe Thalang,2.52,
Lower Harbour Cay,5,Bahamas,25.083136677834002,-77.201706503552,0,1,1,0,0,0,0,0,0,0,0,0,0,Nassau,9.01,
