Unnamed: 0,Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
211,AuTrain Island,106,United States of America,46.485628999999996,-86.896019,yes,no,no,no,no,no,no,no,yes,no,no,no,no,Munising,12.82,3450000.0
212,Wild Duck Island,300,Australia,-22.006397,149.8555,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,Sarina,57.69,3413746.02
213,Whitestone Island,6,Canada,49.596500534036,-124.04484564722,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,South Pender Harbour,1.98,3405221.34
216,Fazenda Cipo Island,25,Brazil,-13.761744214978002,-39.102697763354,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Ituberá,3.54,3346720.21
217,Lihnari Peninsula,95,Greece,37.8419,23.0669,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Sofikón,3.4,3346720.21
218,Kythnos Island parcel,187,Greece,37.3933984,24.41733210000001,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Nomós Kykládon,27.45,3235162.87
220,Loud Island,30,United States of America,44.481756268327,-83.371748580395,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,yes,Au Sable,5.27,3200000.0
221,The Carolina Cays,256,United States of America,35.87920326,-75.63056954,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Wanchese,2.56,3200000.0
222,Historic Popenhager Camp,21,United States of America,25.9867611,-81.0431176,yes,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,Collier County,22.37,3150000.0
223,Victoria Point Cays,10,Bahamas,24.228493092317,-77.622438263446,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,Andros Town,34.19,3100000.0
225,Benbow Caye,133,Belize,17.477182355903,-88.085782798584,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Belize City,7.53,3000000.0
226,Soneva Jani,1,Maldives,5.7116682307060005,73.41500039577,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Manadhoo,3.82,3000000.0
227,Soneva Fushi,1,Maldives,5.111997,73.078154,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Open Stage,0.67,3000000.0
229,Itaranajá Island,3756,Brazil,-0.65,-47.21666670000001,yes,yes,no,no,no,no,no,no,no,no,no,no,no,São João de Pirabas,9.04,3000000.0
231,Islas Marias,27,Panama,7.7099136918319,-81.071343698425,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Mariato District,5.1,3000000.0
232,Pucoy Island,141,Philippines,11.7516371,119.95815379999999,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,San Miguel,18.87,3000000.0
235,Big Gull Island,12,United States of America,56.99569585671699,-135.34265605239,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,Sitka,3.99,3000000.0
236,Kadomo Island,70,Fiji,-17.492507999999994,177.0518092,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Lautoka,27.63,2980000.0
237,Whiskey Island,3,United States of America,44.24727,-76.153,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,Clayton,3.37,2950000.0
238,High Cay,31,Bahamas,23.949181018009,-74.476727632016,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,Clarence Town,66.88,2950000.0
239,Cambria Island,4,Canada,45.540331683775996,-80.437903119049,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,Parry Sound,23.64,2947408.25
240,Bigwood Island,36,Canada,45.764793950427,-80.640522540918,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,Parry Sound District,38.94,2913356.03
241,Point Pleasant,500,Canada,46.040075845372,-62.535433817261,yes,no,no,no,no,no,no,no,no,yes,no,no,no,Montague,10.3,2900000.0
243,Cogra Point Peninsula,28,Australia,-33.52756,151.226699,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,Umina Beach,4.99,2850000.0
246,Palm Ridge Property,5,United Kingdom,18.422412866167,-64.620904297217,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Saint Paul’s,136.77,2800000.0
247,Ligpo Island,1,Philippines,13.820500845808,120.90084979021002,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,San Luis,2.59,2800000.0
249,Sandpenny Island,3,United States of America,30.665104757767,-81.51038087990098,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,Fernandina Beach,2.86,2749000.0
250,Turtle Caye,19,Belize,17.455530149932002,-88.062199501709,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Belize City,9.42,2700000.0
251,Camp Island Silver Shoals Lodge,6,Australia,-19.849812741834,147.90211986984,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Bowen,25.13,2655135.79
252,Cedar Island,202,United States of America,35.007010496827995,-76.333437195922,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Carteret County,14.99,2645000.0
253,Rainforest Caye,37,Belize,16.17889,-88.64083000000002,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Punta Gorda,12.51,2600000.0
254,Crescent Island,4,United States of America,26.488359999999997,-82.08814220000002,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,Saint James City,0.88,2599000.0
255,Villa Bergholmen,5,Finland,59.99483299999999,22.612667000000002,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,Dragsfjärd,6.68,2565818.83
256,Island of South Walton,53,United States of America,30.378444640124002,-86.115082460327,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Seaside,4.27,2500000.0
257,A Dream Come True Villa,1,United Kingdom,18.471560646027,-64.41411892396401,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Saint Paul’s,127.22,2500000.0
258,Isla Cui Cui,30,Chile,-40.689670006185004,-72.383070765088,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,Puyehue,11.65,2500000.0
259,Dan May Island,72,United States of America,29.280719172381,-83.104952271164,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,Levy County,19.06,2500000.0
260,Hog Island,600,United States of America,34.997985883531,-76.27692149292,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Carteret County,17.18,2500000.0
262,South Cocoplum Caye,6,Belize,16.874582629297,-88.121740739456,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Dangriga,9.87,2500000.0
263,Koro Levu Island,8,Fiji,-16.7666667,-179.9833333,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Cakaudrove Province,40.3,2500000.0
264,Perpall Cayes,158,Bahamas,23.466670999999998,-75.833302,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,George Town,4.52,2500000.0
265,Tambor and Magotes Islands,15,Panama,9.638133004427802,-79.528478984131,no,yes,no,no,no,no,no,no,no,no,no,no,no,Nombre de Dios,5.64,2500000.0
266,Morgans Caye,28,Belize,17.449959867472998,-88.070385510693,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Belize City,9.05,2500000.0
267,Echo Island B350,16,Canada,45.196330634610995,-80.133228480951,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,Parry Sound,11.47,2489595.16
268,Eshpabekong Island Archipelago,17,Canada,44.934858482022,-79.960584223865,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,Midland,13.32,2485811.58
271,Sands Island,7,United States of America,30.418490000000002,-81.515264,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,Atlantic Beach,9.06,2300000.0
272,Low Cay,25,Bahamas,23.93885,-74.481318,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Clarence Town,66.11,2300000.0
273,Bircholm on Deer Island,50,United States of America,44.264732878337,-74.332858135999,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,Tupper Lake,7.08,2250000.0
274,Lakefront Cottages and Golf Course Retreat,40,Canada,45.7179106,-80.048324,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,Parry Sound District,10.62,2250000.0
275,Bullocks Harbour Cay,224,Bahamas,25.774739290816,-77.879021238037,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,San Andros,50.07,2240000.0
